id,region,date,rainfall_mm,temperature_c,humidity
148,Srinagar,2025-01-08,228.95,20.2,81.9
149,Aizawl,2025-01-08,159.35,10.3,51.8
150,Pauri,2025-01-08,339.27,15.6,50.9
151,Joshimath,2025-01-08,47.06,31.5,37.6
152,Itanagar,2025-01-08,7.17,9.3,71.9
153,Shimla,2025-01-09,22.65,30.1,49.4
154,Manali,2025-01-09,167.35,7.5,39.2
155,Dehradun,2025-01-09,256.73,21.6,68.2
156,Nainital,2025-01-09,230.69,14.1,41.6
157,Leh,2025-01-09,82.13,8.7,48.1
158,Gangtok,2025-01-09,215.84,16.8,62.6
159,Darjeeling,2025-01-09,327.16,31.6,35.3
160,Munnar,2025-01-09,63.52,13.1,37.6
161,Kedarnath,2025-01-09,116.77,25.3,75.3
162,Kargil,2025-01-09,287.46,6.6,51.7
163,Mussoorie,2025-01-09,104.23,29.9,93.9
164,Tawang,2025-01-09,286.52,24.0,48.2
165,Cherrapunji,2025-01-09,173.98,16.7,49.6
166,Pithoragarh,2025-01-09,220.59,9.4,96.0
167,Srinagar,2025-01-09,259.11,23.9,43.3
168,Aizawl,2025-01-09,233.46,23.6,58.6
169,Pauri,2025-01-09,139.37,30.4,93.7
170,Joshimath,2025-01-09,24.65,19.9,83.1
171,Itanagar,2025-01-09,156.2,27.5,88.7
172,Shimla,2025-01-10,63.02,31.2,97.1
173,Manali,2025-01-10,15.06,30.7,91.4
174,Dehradun,2025-01-10,92.57,31.6,90.7
175,Nainital,2025-01-10,194.06,7.3,35.7
176,Leh,2025-01-10,199.23,8.9,72.5
177,Gangtok,2025-01-10,64.69,6.8,90.0
178,Darjeeling,2025-01-10,323.43,7.4,52.3
179,Munnar,2025-01-10,285.09,13.2,42.8
180,Kedarnath,2025-01-10,248.12,27.4,87.4
181,Kargil,2025-01-10,288.47,19.4,42.2
182,Mussoorie,2025-01-10,298.0,30.5,92.9
183,Tawang,2025-01-10,230.02,14.3,81.9
184,Cherrapunji,2025-01-10,34.08,28.2,74.2
185,Pithoragarh,2025-01-10,87.47,7.3,55.1
186,Srinagar,2025-01-10,86.87,22.2,73.0
187,Aizawl,2025-01-10,98.76,12.5,81.3
188,Pauri,2025-01-10,335.16,15.9,73.0
189,Joshimath,2025-01-10,120.01,26.4,45.6
190,Itanagar,2025-01-10,242.76,19.6,42.4
191,Shimla,2025-01-11,187.78,13.6,48.6
192,Manali,2025-01-11,163.65,31.7,85.4
193,Dehradun,2025-01-11,219.81,25.9,64.4
194,Nainital,2025-01-11,230.85,24.7,84.6
195,Leh,2025-01-11,324.9,15.8,36.5
196,Gangtok,2025-01-11,61.17,29.2,63.1
197,Darjeeling,2025-01-11,299.81,28.6,70.8
198,Munnar,2025-01-11,45.71,21.0,45.0
199,Kedarnath,2025-01-11,215.09,31.2,94.3
200,Kargil,2025-01-11,274.4,15.5,58.9
201,Mussoorie,2025-01-11,56.19,12.2,77.6
202,Tawang,2025-01-11,25.81,25.8,97.0
203,Cherrapunji,2025-01-11,115.39,16.1,67.9
204,Pithoragarh,2025-01-11,34.68,23.7,71.7
205,Srinagar,2025-01-11,318.2,29.6,69.2
206,Aizawl,2025-01-11,81.89,30.7,97.4
207,Pauri,2025-01-11,185.76,16.2,80.8
208,Joshimath,2025-01-11,73.02,15.5,82.1
209,Itanagar,2025-01-11,160.44,24.2,43.6
210,Shimla,2025-01-12,91.69,6.6,95.5
211,Manali,2025-01-12,101.42,5.5,75.4
212,Dehradun,2025-01-12,155.76,7.4,42.1
213,Nainital,2025-01-12,156.4,6.4,88.3
214,Leh,2025-01-12,7.1,13.4,75.4
215,Gangtok,2025-01-12,260.46,6.9,77.8
216,Darjeeling,2025-01-12,98.73,7.2,60.8
217,Munnar,2025-01-12,218.45,28.7,81.8
218,Kedarnath,2025-01-12,245.51,25.4,59.5
219,Kargil,2025-01-12,299.84,8.0,92.3
220,Mussoorie,2025-01-12,71.9,19.7,70.7
221,Tawang,2025-01-12,170.41,7.3,87.5
222,Cherrapunji,2025-01-12,133.91,30.0,64.9
223,Pithoragarh,2025-01-12,47.69,26.2,89.4
224,Srinagar,2025-01-12,249.47,27.3,63.4
225,Aizawl,2025-01-12,278.2,12.5,39.5
226,Pauri,2025-01-12,131.38,12.1,79.0
227,Joshimath,2025-01-12,78.06,23.9,47.7
228,Itanagar,2025-01-12,305.46,17.4,63.8
229,Shimla,2025-01-13,314.08,5.3,70.7
230,Manali,2025-01-13,266.15,14.2,45.8
231,Dehradun,2025-01-13,245.57,12.7,82.1
232,Nainital,2025-01-13,123.72,6.9,90.5
233,Leh,2025-01-13,238.38,10.8,74.1
234,Gangtok,2025-01-13,10.0,20.2,56.6
235,Darjeeling,2025-01-13,226.04,6.7,84.4
236,Munnar,2025-01-13,277.7,7.6,79.5
237,Kedarnath,2025-01-13,44.59,17.1,53.8
238,Kargil,2025-01-13,319.65,19.0,37.1
239,Mussoorie,2025-01-13,53.59,10.9,82.0
240,Tawang,2025-01-13,119.55,21.8,53.2
241,Cherrapunji,2025-01-13,117.17,7.9,71.7
242,Pithoragarh,2025-01-13,227.34,25.6,75.0
243,Srinagar,2025-01-13,36.05,12.8,53.6
244,Aizawl,2025-01-13,174.7,19.4,66.4
245,Pauri,2025-01-13,317.28,11.5,88.2
246,Joshimath,2025-01-13,33.99,11.6,56.9
247,Itanagar,2025-01-13,282.99,18.3,49.0
248,Shimla,2025-01-14,255.75,14.8,58.0
249,Manali,2025-01-14,98.24,14.3,78.6
250,Dehradun,2025-01-14,94.4,7.8,95.2
251,Nainital,2025-01-14,184.61,9.2,68.8
252,Leh,2025-01-14,314.6,17.3,64.0
253,Gangtok,2025-01-14,253.54,12.9,68.3
254,Darjeeling,2025-01-14,340.42,21.9,55.1
255,Munnar,2025-01-14,184.25,29.4,48.4
256,Kedarnath,2025-01-14,349.07,17.4,35.7
257,Kargil,2025-01-14,343.03,19.5,46.9
258,Mussoorie,2025-01-14,55.15,15.1,91.1
259,Tawang,2025-01-14,102.72,19.5,69.3
260,Cherrapunji,2025-01-14,28.68,22.9,36.1
261,Pithoragarh,2025-01-14,80.45,29.1,47.5
262,Srinagar,2025-01-14,228.16,31.9,49.4
263,Aizawl,2025-01-14,195.57,16.8,41.3
264,Pauri,2025-01-14,295.56,22.3,88.7
265,Joshimath,2025-01-14,324.27,22.4,41.2
266,Itanagar,2025-01-14,255.6,29.9,54.4
267,Shimla,2025-01-15,57.95,12.4,52.4
268,Manali,2025-01-15,56.83,23.6,72.4
269,Dehradun,2025-01-15,292.63,25.5,53.2
270,Nainital,2025-01-15,312.98,25.8,69.3
271,Leh,2025-01-15,69.56,21.1,81.1
272,Gangtok,2025-01-15,235.8,11.9,66.5
273,Darjeeling,2025-01-15,122.57,21.3,47.2
274,Munnar,2025-01-15,279.0,10.5,53.6
275,Kedarnath,2025-01-15,12.71,16.7,79.1
276,Kargil,2025-01-15,30.5,26.4,94.2
277,Mussoorie,2025-01-15,79.91,29.0,85.4
278,Tawang,2025-01-15,176.12,30.6,88.2
279,Cherrapunji,2025-01-15,316.54,22.1,42.4
280,Pithoragarh,2025-01-15,200.88,15.2,52.4
281,Srinagar,2025-01-15,47.02,13.8,91.6
282,Aizawl,2025-01-15,84.5,20.1,58.1
283,Pauri,2025-01-15,44.2,29.1,57.9
284,Joshimath,2025-01-15,292.48,30.3,83.5
285,Itanagar,2025-01-15,32.58,12.0,51.6
286,Shimla,2025-01-16,222.14,6.2,81.1
287,Manali,2025-01-16,120.36,29.8,43.6
288,Dehradun,2025-01-16,220.1,17.6,78.5
289,Nainital,2025-01-16,55.1,27.6,65.6
290,Leh,2025-01-16,22.35,21.2,40.0
291,Gangtok,2025-01-16,229.45,25.7,67.2
292,Darjeeling,2025-01-16,303.57,14.6,64.6
293,Munnar,2025-01-16,199.88,29.8,71.7
294,Kedarnath,2025-01-16,177.33,14.0,97.2
295,Kargil,2025-01-16,122.68,10.6,42.0
296,Mussoorie,2025-01-16,32.12,11.8,85.0
297,Tawang,2025-01-16,39.71,13.5,90.4
298,Cherrapunji,2025-01-16,98.84,20.2,44.4
299,Pithoragarh,2025-01-16,35.02,8.8,51.6
300,Srinagar,2025-01-16,182.82,30.0,69.3
301,Aizawl,2025-01-16,346.3,26.2,55.1
302,Pauri,2025-01-16,233.6,28.9,63.1
303,Joshimath,2025-01-16,306.17,20.7,97.7
304,Itanagar,2025-01-16,288.61,20.2,43.0
305,Shimla,2025-01-17,212.48,20.6,75.3
306,Manali,2025-01-17,43.67,27.5,89.6
307,Dehradun,2025-01-17,332.87,25.3,42.3
308,Nainital,2025-01-17,293.1,25.1,92.0
309,Leh,2025-01-17,98.9,15.1,73.3
310,Gangtok,2025-01-17,109.17,30.6,48.4
311,Darjeeling,2025-01-17,237.12,6.8,69.2
312,Munnar,2025-01-17,38.8,5.1,66.3
313,Kedarnath,2025-01-17,150.58,29.5,62.2
314,Kargil,2025-01-17,210.72,16.2,75.9
315,Mussoorie,2025-01-17,110.91,25.9,84.5
316,Tawang,2025-01-17,258.99,22.5,76.7
317,Cherrapunji,2025-01-17,7.83,18.1,97.5
318,Pithoragarh,2025-01-17,142.56,28.6,75.0
319,Srinagar,2025-01-17,238.77,27.8,95.3
320,Aizawl,2025-01-17,340.17,20.1,47.7
321,Pauri,2025-01-17,179.78,30.3,39.4
322,Joshimath,2025-01-17,139.03,15.5,56.7
323,Itanagar,2025-01-17,349.36,23.1,67.6
324,Shimla,2025-01-18,342.03,22.1,81.1
325,Manali,2025-01-18,88.7,21.1,49.7
326,Dehradun,2025-01-18,187.98,21.2,39.4
327,Nainital,2025-01-18,246.23,17.7,70.3
328,Leh,2025-01-18,256.84,8.9,65.6
329,Gangtok,2025-01-18,213.88,17.5,79.1
330,Darjeeling,2025-01-18,22.79,15.4,38.8
331,Munnar,2025-01-18,348.17,5.7,67.2
332,Kedarnath,2025-01-18,187.32,31.4,70.9
333,Kargil,2025-01-18,102.69,22.9,66.3
334,Mussoorie,2025-01-18,17.72,9.9,52.4
335,Tawang,2025-01-18,291.74,31.3,83.9
336,Cherrapunji,2025-01-18,221.74,12.8,40.5
337,Pithoragarh,2025-01-18,54.23,23.4,53.3
338,Srinagar,2025-01-18,316.34,25.9,54.0
339,Aizawl,2025-01-18,289.62,11.8,59.8
340,Pauri,2025-01-18,332.55,11.9,94.4
341,Joshimath,2025-01-18,270.19,31.3,51.0
342,Itanagar,2025-01-18,132.15,28.5,57.9
343,Shimla,2025-01-19,326.12,14.6,97.2
344,Manali,2025-01-19,296.18,14.1,60.5
345,Dehradun,2025-01-19,136.5,13.6,64.2
346,Nainital,2025-01-19,111.54,8.1,74.2
347,Leh,2025-01-19,67.47,22.8,77.5
348,Gangtok,2025-01-19,285.7,6.9,49.7
349,Darjeeling,2025-01-19,144.63,11.9,88.1
350,Munnar,2025-01-19,277.41,7.9,66.1
351,Kedarnath,2025-01-19,294.11,22.2,79.4
352,Kargil,2025-01-19,152.2,26.1,57.6
353,Mussoorie,2025-01-19,82.33,9.8,89.5
354,Tawang,2025-01-19,301.69,27.1,89.7
355,Cherrapunji,2025-01-19,205.07,25.8,39.6
356,Pithoragarh,2025-01-19,109.85,31.8,67.0
357,Srinagar,2025-01-19,229.04,14.9,43.9
358,Aizawl,2025-01-19,337.37,7.3,46.0
359,Pauri,2025-01-19,38.46,8.1,68.0
360,Joshimath,2025-01-19,307.25,16.2,50.6
361,Itanagar,2025-01-19,136.47,25.1,83.6
362,Shimla,2025-01-20,113.45,8.2,43.3
363,Manali,2025-01-20,152.55,17.4,87.6
364,Dehradun,2025-01-20,182.89,21.8,95.5
365,Nainital,2025-01-20,202.51,5.7,35.6
366,Leh,2025-01-20,296.7,29.9,80.1
367,Gangtok,2025-01-20,289.62,7.1,38.1
368,Darjeeling,2025-01-20,147.47,7.6,80.7
369,Munnar,2025-01-20,289.3,24.4,93.1
370,Kedarnath,2025-01-20,121.47,16.8,93.2
371,Kargil,2025-01-20,186.44,24.9,87.9
372,Mussoorie,2025-01-20,242.74,5.7,42.1
373,Tawang,2025-01-20,327.67,21.6,72.8
374,Cherrapunji,2025-01-20,179.71,26.7,43.5
375,Pithoragarh,2025-01-20,158.25,16.6,77.9
376,Srinagar,2025-01-20,49.93,28.7,75.3
377,Aizawl,2025-01-20,139.98,18.3,57.1
378,Pauri,2025-01-20,56.71,27.4,90.7
379,Joshimath,2025-01-20,320.01,7.0,40.8
380,Itanagar,2025-01-20,98.31,12.3,96.9
381,Shimla,2025-01-21,129.69,23.3,88.8
382,Manali,2025-01-21,328.7,5.2,69.8
383,Dehradun,2025-01-21,289.29,31.7,93.5
384,Nainital,2025-01-21,82.58,24.1,50.7
385,Leh,2025-01-21,61.76,13.6,50.7
386,Gangtok,2025-01-21,143.04,22.3,50.5
387,Darjeeling,2025-01-21,161.05,18.2,70.1
388,Munnar,2025-01-21,54.42,9.7,63.2
389,Kedarnath,2025-01-21,17.95,8.3,91.6
390,Kargil,2025-01-21,14.77,27.6,70.9
391,Mussoorie,2025-01-21,128.6,27.8,50.3
392,Tawang,2025-01-21,169.89,24.0,72.9
393,Cherrapunji,2025-01-21,150.44,11.0,38.9
394,Pithoragarh,2025-01-21,115.48,26.5,60.0
395,Srinagar,2025-01-21,187.74,5.7,87.2
396,Aizawl,2025-01-21,290.51,19.9,55.3
397,Pauri,2025-01-21,6.76,23.5,65.9
398,Joshimath,2025-01-21,90.88,15.1,48.7
399,Itanagar,2025-01-21,124.52,19.1,90.0
400,Shimla,2025-01-22,285.81,10.6,56.3
401,Manali,2025-01-22,148.77,23.9,36.2
402,Dehradun,2025-01-22,320.54,27.3,69.6
403,Nainital,2025-01-22,301.83,16.6,81.0
404,Leh,2025-01-22,174.33,29.0,38.7
405,Gangtok,2025-01-22,60.74,26.8,94.2
406,Darjeeling,2025-01-22,185.92,25.9,47.0
407,Munnar,2025-01-22,184.23,15.2,72.9
408,Kedarnath,2025-01-22,243.53,10.3,62.5
409,Kargil,2025-01-22,118.63,12.4,55.7
410,Mussoorie,2025-01-22,260.12,17.9,72.0
411,Tawang,2025-01-22,301.58,30.9,90.5
412,Cherrapunji,2025-01-22,120.2,14.0,65.3
413,Pithoragarh,2025-01-22,279.17,19.6,86.2
414,Srinagar,2025-01-22,148.34,15.6,35.5
415,Aizawl,2025-01-22,270.12,12.1,94.5
416,Pauri,2025-01-22,161.19,14.7,35.6
417,Joshimath,2025-01-22,46.42,22.0,71.2
418,Itanagar,2025-01-22,331.08,8.4,95.6
419,Shimla,2025-01-23,48.67,16.2,52.3
420,Manali,2025-01-23,188.01,7.9,68.4
421,Dehradun,2025-01-23,345.25,6.3,40.1
422,Nainital,2025-01-23,160.03,5.8,97.7
423,Leh,2025-01-23,232.17,7.9,69.4
424,Gangtok,2025-01-23,190.66,26.6,45.0
425,Darjeeling,2025-01-23,95.46,13.0,65.7
426,Munnar,2025-01-23,58.89,6.3,82.9
427,Kedarnath,2025-01-23,223.1,21.8,82.8
428,Kargil,2025-01-23,186.83,27.6,86.3
429,Mussoorie,2025-01-23,9.84,13.1,55.2
430,Tawang,2025-01-23,206.69,27.0,63.0
431,Cherrapunji,2025-01-23,219.09,15.6,85.3
432,Pithoragarh,2025-01-23,181.22,13.5,49.3
433,Srinagar,2025-01-23,81.71,27.4,46.8
434,Aizawl,2025-01-23,239.62,14.1,82.8
435,Pauri,2025-01-23,139.44,10.3,60.3
436,Joshimath,2025-01-23,71.23,23.5,43.0
437,Itanagar,2025-01-23,156.19,23.3,60.1
438,Shimla,2025-01-24,90.38,29.1,39.1
439,Manali,2025-01-24,102.31,5.6,38.4
440,Dehradun,2025-01-24,184.81,19.9,63.1
441,Nainital,2025-01-24,181.32,20.6,89.8
442,Leh,2025-01-24,321.44,25.9,57.4
443,Gangtok,2025-01-24,251.3,11.0,97.7
444,Darjeeling,2025-01-24,33.09,30.4,72.1
445,Munnar,2025-01-24,174.02,17.5,64.1
446,Kedarnath,2025-01-24,200.93,16.5,42.6
447,Kargil,2025-01-24,339.14,8.7,93.4
448,Mussoorie,2025-01-24,312.7,12.4,58.8
449,Tawang,2025-01-24,210.97,25.2,56.6
450,Cherrapunji,2025-01-24,286.3,23.0,60.1
451,Pithoragarh,2025-01-24,194.79,12.9,47.0
452,Srinagar,2025-01-24,234.4,22.8,65.3
453,Aizawl,2025-01-24,5.86,14.4,46.0
454,Pauri,2025-01-24,326.85,6.0,38.4
455,Joshimath,2025-01-24,51.66,18.3,70.1
456,Itanagar,2025-01-24,82.7,17.8,80.3
457,Shimla,2025-01-25,165.67,24.4,35.6
458,Manali,2025-01-25,168.89,24.2,47.7
459,Dehradun,2025-01-25,140.65,26.3,56.7
460,Nainital,2025-01-25,36.42,7.7,76.8
461,Leh,2025-01-25,11.22,11.8,82.8
462,Gangtok,2025-01-25,303.12,17.8,87.9
463,Darjeeling,2025-01-25,90.29,10.9,60.3
464,Munnar,2025-01-25,213.95,6.5,67.5
465,Kedarnath,2025-01-25,108.85,21.6,80.1
466,Kargil,2025-01-25,93.6,16.0,70.1
467,Mussoorie,2025-01-25,233.11,16.0,74.7
468,Tawang,2025-01-25,200.66,11.0,93.7
469,Cherrapunji,2025-01-25,122.13,20.8,95.7
470,Pithoragarh,2025-01-25,95.04,14.1,66.8
471,Srinagar,2025-01-25,165.46,11.9,77.5
472,Aizawl,2025-01-25,120.51,30.7,75.3
473,Pauri,2025-01-25,268.88,27.4,67.1
474,Joshimath,2025-01-25,206.51,29.1,43.5
475,Itanagar,2025-01-25,10.06,27.3,50.8
476,Shimla,2025-01-26,18.62,13.4,50.5
477,Manali,2025-01-26,251.91,23.7,89.8
478,Dehradun,2025-01-26,292.87,23.6,82.8
479,Nainital,2025-01-26,38.08,9.7,49.8
480,Leh,2025-01-26,160.08,15.3,90.6
481,Gangtok,2025-01-26,84.68,18.6,40.4
482,Darjeeling,2025-01-26,95.54,19.9,61.2
483,Munnar,2025-01-26,265.28,6.3,87.1
484,Kedarnath,2025-01-26,143.58,6.1,85.4
485,Kargil,2025-01-26,345.94,20.2,85.2
486,Mussoorie,2025-01-26,11.66,30.8,77.5
487,Tawang,2025-01-26,253.84,14.8,69.3
488,Cherrapunji,2025-01-26,226.39,5.5,90.7
489,Pithoragarh,2025-01-26,129.64,10.9,48.9
490,Srinagar,2025-01-26,224.76,7.5,52.3
491,Aizawl,2025-01-26,334.91,9.5,65.4
492,Pauri,2025-01-26,114.52,25.0,52.4
493,Joshimath,2025-01-26,246.14,21.5,81.2
494,Itanagar,2025-01-26,94.43,11.1,75.3
495,Shimla,2025-01-27,51.73,14.3,61.4
496,Manali,2025-01-27,66.77,15.1,89.7
497,Dehradun,2025-01-27,249.66,15.6,59.3
498,Nainital,2025-01-27,346.19,29.7,63.6
499,Leh,2025-01-27,145.65,23.9,62.4
500,Gangtok,2025-01-27,229.02,16.7,39.0
501,Darjeeling,2025-01-27,244.55,26.6,87.1
502,Munnar,2025-01-27,78.23,28.2,85.5
503,Kedarnath,2025-01-27,341.12,23.9,50.8
504,Kargil,2025-01-27,59.09,24.5,96.5
505,Mussoorie,2025-01-27,5.74,5.1,39.3
506,Tawang,2025-01-27,293.49,5.6,37.1
507,Cherrapunji,2025-01-27,243.32,7.0,92.3
508,Pithoragarh,2025-01-27,310.15,31.2,60.6
509,Srinagar,2025-01-27,111.03,17.1,91.0
510,Aizawl,2025-01-27,250.83,13.3,64.7
511,Pauri,2025-01-27,280.74,29.8,95.0
512,Joshimath,2025-01-27,244.44,21.3,93.5
513,Itanagar,2025-01-27,238.5,27.1,54.4
514,Shimla,2025-01-28,334.25,6.0,52.6
515,Manali,2025-01-28,63.73,24.3,84.4
516,Dehradun,2025-01-28,338.35,22.2,93.1
517,Nainital,2025-01-28,115.43,28.5,58.9
518,Leh,2025-01-28,154.24,12.2,92.0
519,Gangtok,2025-01-28,160.03,28.6,47.6
